año,genero,cantidad
1900-01-01,Short,232
1900-01-01,Sport,4
1900-01-01,Talk-Show,2
1900-01-01,Thriller,13
1900-01-01,War,9
1900-01-01,Western,3
1901-01-01,Action,7
1901-01-01,Adult,3
1901-01-01,Adventure,10
1901-01-01,Animation,17
1901-01-01,Biography,3
1901-01-01,Comedy,55
1901-01-01,Crime,11
1901-01-01,Documentary,80
1901-01-01,Drama,35
1901-01-01,Family,11
1901-01-01,Fantasy,31
1901-01-01,Game-Show,1
1901-01-01,History,6
1901-01-01,Horror,7
1901-01-01,Music,5
1901-01-01,Musical,8
1901-01-01,Mystery,4
1901-01-01,News,10
1901-01-01,Reality-TV,1
1901-01-01,Romance,12
1901-01-01,Sci-Fi,3
1901-01-01,Short,195
1901-01-01,Sport,10
1901-01-01,Talk-Show,2
1901-01-01,Thriller,10
1901-01-01,War,5
1901-01-01,Western,3
1902-01-01,Action,4
1902-01-01,Adult,4
1902-01-01,Adventure,9
1902-01-01,Animation,14
1902-01-01,Biography,7
1902-01-01,Comedy,53
1902-01-01,Crime,8
1902-01-01,Documentary,66
1902-01-01,Drama,44
1902-01-01,Family,10
1902-01-01,Fantasy,25
1902-01-01,Game-Show,1
1902-01-01,History,8
1902-01-01,Horror,9
1902-01-01,Music,11
1902-01-01,Musical,8
1902-01-01,Mystery,6
1902-01-01,News,9
1902-01-01,Reality-TV,1
1902-01-01,Romance,15
1902-01-01,Sci-Fi,4
1902-01-01,Short,178
1902-01-01,Sport,8
1902-01-01,Talk-Show,2
1902-01-01,Thriller,12
1902-01-01,War,5
1902-01-01,Western,1
1903-01-01,Action,11
1903-01-01,Adult,14
1903-01-01,Adventure,19
1903-01-01,Animation,33
1903-01-01,Biography,8
1903-01-01,Comedy,98
1903-01-01,Crime,23
1903-01-01,Documentary,96
1903-01-01,Drama,82
1903-01-01,Family,30
1903-01-01,Fantasy,46
1903-01-01,Game-Show,5
1903-01-01,History,5
1903-01-01,Horror,16
1903-01-01,Music,22
1903-01-01,Musical,10
1903-01-01,Mystery,13
1903-01-01,News,5
1903-01-01,Reality-TV,6
1903-01-01,Romance,33
1903-01-01,Sci-Fi,12
1903-01-01,Short,240
1903-01-01,Sport,6
1903-01-01,Talk-Show,5
1903-01-01,Thriller,25
1903-01-01,War,3
1903-01-01,Western,6
1904-01-01,Action,10
1904-01-01,Adult,7
1904-01-01,Adventure,11
1904-01-01,Animation,8
1904-01-01,Biography,1
1904-01-01,Comedy,76
1904-01-01,Crime,23
1904-01-01,Documentary,56
1904-01-01,Drama,53
1904-01-01,Family,6
1904-01-01,Fantasy,19
1904-01-01,History,7
1904-01-01,Horror,6
1904-01-01,Music,10
1904-01-01,Musical,5
1904-01-01,Mystery,10
1904-01-01,News,3
1904-01-01,Romance,15
1904-01-01,Sci-Fi,5
1904-01-01,Short,188
1904-01-01,Sport,4
1904-01-01,Talk-Show,1
1904-01-01,Thriller,10
1904-01-01,War,5
1904-01-01,Western,2
1905-01-01,Action,15
1905-01-01,Adult,12
1905-01-01,Adventure,13
1905-01-01,Animation,20
1905-01-01,Biography,5
1905-01-01,Comedy,65
1905-01-01,Crime,21
1905-01-01,Documentary,40
1905-01-01,Drama,65
1905-01-01,Family,17
1905-01-01,Fantasy,20
1905-01-01,Game-Show,1
1905-01-01,History,3
1905-01-01,Horror,10
1905-01-01,Music,12
1905-01-01,Musical,7
1905-01-01,Mystery,13
1905-01-01,News,4
1905-01-01,Reality-TV,2
1905-01-01,Romance,14
1905-01-01,Sci-Fi,7
1905-01-01,Short,152
1905-01-01,Sport,7
1905-01-01,Talk-Show,1
1905-01-01,Thriller,12
1905-01-01,War,5
1905-01-01,Western,6
1906-01-01,Action,16
1906-01-01,Adult,8
1906-01-01,Adventure,20
1906-01-01,Animation,23
1906-01-01,Biography,12
1906-01-01,Comedy,76
1906-01-01,Crime,35
1906-01-01,Documentary,72
1906-01-01,Drama,89
1906-01-01,Family,18
1906-01-01,Fantasy,25
1906-01-01,Game-Show,3
1906-01-01,History,10
1906-01-01,Horror,11
1906-01-01,Music,19
1906-01-01,Musical,17
1906-01-01,Mystery,12
1906-01-01,News,5
1906-01-01,Reality-TV,4
1906-01-01,Romance,28
1906-01-01,Sci-Fi,7
1906-01-01,Short,201
1906-01-01,Sport,11
1906-01-01,Talk-Show,3
1906-01-01,Thriller,18
1906-01-01,War,4
1906-01-01,Western,10
1907-01-01,Action,32
1907-01-01,Adult,16
1907-01-01,Adventure,20
1907-01-01,Animation,54
1907-01-01,Biography,12
1907-01-01,Comedy,142
1907-01-01,Crime,44
1907-01-01,Documentary,68
1907-01-01,Drama,142
1907-01-01,Family,36
1907-01-01,Fantasy,33
1907-01-01,History,20
1907-01-01,Horror,22
1907-01-01,Music,25
1907-01-01,Musical,14
1907-01-01,Mystery,24
1907-01-01,News,6
1907-01-01,Reality-TV,5
1907-01-01,Romance,54
1907-01-01,Sci-Fi,10
1907-01-01,Short,271
1907-01-01,Sport,10
1907-01-01,Talk-Show,3
1907-01-01,Thriller,40
1907-01-01,War,9
1907-01-01,Western,13
1908-01-01,Action,56
1908-01-01,Adult,27
1908-01-01,Adventure,43
1908-01-01,Animation,57
1908-01-01,Biography,23
1908-01-01,Comedy,199
1908-01-01,Crime,63
1908-01-01,Documentary,86
1908-01-01,Drama,270
1908-01-01,Family,52
1908-01-01,Fantasy,52
1908-01-01,Game-Show,1
1908-01-01,History,36
1908-01-01,Horror,39
1908-01-01,Music,44
1908-01-01,Musical,34
1908-01-01,Mystery,39
1908-01-01,News,5
1908-01-01,Reality-TV,5
1908-01-01,Romance,102
1908-01-01,Sci-Fi,27
1908-01-01,Short,462
1908-01-01,Sport,8
1908-01-01,Talk-Show,4
1908-01-01,Thriller,66
1908-01-01,War,20
1908-01-01,Western,25
1909-01-01,Action,57
1909-01-01,Adult,27
1909-01-01,Adventure,53
1909-01-01,Animation,80
1909-01-01,Biography,36
1909-01-01,Comedy,222
1909-01-01,Crime,72
1909-01-01,Documentary,89
1909-01-01,Drama,353
1909-01-01,Family,55
1909-01-01,Fantasy,54
1909-01-01,Game-Show,5
1909-01-01,History,45
1909-01-01,Horror,46
1909-01-01,Music,41
1909-01-01,Musical,30
1909-01-01,Mystery,52
1909-01-01,News,8
1909-01-01,Reality-TV,6
1909-01-01,Romance,102
1909-01-01,Sci-Fi,31
1909-01-01,Short,509
1909-01-01,Sport,11
1909-01-01,Talk-Show,8
1909-01-01,Thriller,74
1909-01-01,War,33
1909-01-01,Western,39
1910-01-01,Action,61
1910-01-01,Adult,37
1910-01-01,Adventure,53
1910-01-01,Animation,79
1910-01-01,Biography,33
1910-01-01,Comedy,226
1910-01-01,Crime,77
1910-01-01,Documentary,107
1910-01-01,Drama,328
1910-01-01,Family,79
1910-01-01,Fantasy,55
1910-01-01,Game-Show,6
1910-01-01,History,54
1910-01-01,Horror,54
1910-01-01,Music,39
1910-01-01,Musical,45
1910-01-01,Mystery,59
1910-01-01,News,7
1910-01-01,Reality-TV,11
1910-01-01,Romance,126
1910-01-01,Sci-Fi,37
1910-01-01,Short,499
1910-01-01,Sport,14
1910-01-01,Talk-Show,7
1910-01-01,Thriller,103
1910-01-01,War,30
1910-01-01,Western,65
1911-01-01,Action,107
1911-01-01,Adult,36
1911-01-01,Adventure,74
1911-01-01,Animation,78
1911-01-01,Biography,32
1911-01-01,Comedy,245
1911-01-01,Crime,100
1911-01-01,Documentary,120
1911-01-01,Drama,407
1911-01-01,Family,82
1911-01-01,Fantasy,82
1911-01-01,Game-Show,7
1911-01-01,History,47
1911-01-01,Horror,85
1911-01-01,Music,48
1911-01-01,Musical,43
1911-01-01,Mystery,70
1911-01-01,News,8
1911-01-01,Reality-TV,15
1911-01-01,Romance,167
1911-01-01,Sci-Fi,48
1911-01-01,Short,510
1911-01-01,Sport,11
1911-01-01,Talk-Show,8
1911-01-01,Thriller,120
1911-01-01,War,40
1911-01-01,Western,64
1912-01-01,Action,81
1912-01-01,Adult,51
1912-01-01,Adventure,55
1912-01-01,Animation,109
1912-01-01,Biography,42
1912-01-01,Comedy,331
1912-01-01,Crime,83
1912-01-01,Documentary,149
1912-01-01,Drama,439
1912-01-01,Family,94
1912-01-01,Fantasy,80
1912-01-01,Game-Show,8
1912-01-01,History,34
1912-01-01,Horror,85
1912-01-01,Music,34
1912-01-01,Musical,31
1912-01-01,Mystery,70
1912-01-01,News,4
